ticker,name,source,in_sh,in_sz
00999,小菜园,sh,True,True
01024,快手-W,sh,True,True
01030,新城发展,sh,True,True
01033,中石化油服,sh,True,True
01038,长江基建集团,sh,True,True
01044,恒安国际,sh,True,True
01052,越秀交通基建,sh,True,True
01053,重庆钢铁股份,sh,True,True
01055,中国南方航空股份,sh,True,True
01057,浙江世宝,sh,True,True
01060,大麦娱乐,sh,True,True
01065,天津创业环保股份,sh,True,True
01066,威高股份,sh,True,True
01070,TCL电子,sh,True,True
01071,华电国际电力股份,sh,True,True
01072,东方电气,sh,True,True
01081,大金重工,sh,True,True
01083,港华智慧能源,sh,True,True
01088,中国神华,sh,True,True
01093,石药集团,sh,True,True
01099,国药控股,sh,True,True
01108,凯盛新能,sh,True,True
01109,华润置地,sh,True,True
01112,H&H国际控股,sh,True,True
01113,长实集团,sh,True,True
01114,华晨中国,sh,True,True
01117,现代牧业,sh,True,True
01128,永利澳门,sh,True,True
01138,中远海能,sh,True,True
01157,中联重科,sh,True,True
01164,中广核矿业,sh,True,True
01171,兖矿能源,sh,True,True
01177,中国生物制药,sh,True,True
01186,中国铁建,sh,True,True
01187,可孚医疗,sh,True,True
01193,华润燃气,sh,True,True
01196,伟禄科技股份,sh,True,True
01199,中远海运港口,sh,True,True
01208,五矿资源,sh,True,True
01209,华润万象生活,sh,True,True
01211,比亚迪股份,sh,True,True
01258,中国有色矿业,sh,True,True
01276,恒瑞医药,sh,True,True
01277,力量发展,sh,True,True
01288,农业银行,sh,True,True
01299,友邦保险,sh,True,True
01302,先健科技,sh,True,True
01304,FORTIOR,sh,True,True
01308,海丰国际,sh,True,True
01310,香港宽频,sh,True,True
01313,华润建材科技,sh,True,True
01316,耐世特,sh,True,True
01318,毛戈平,sh,True,True
01330,绿色动力环保,sh,True,True
01333,博雷顿,sh,True,True
01336,新华保险,sh,True,True
01339,中国人民保险集团,sh,True,True
01347,华虹宏力,sh,True,True
01349,复旦张江,sh,True,True
01357,美图公司,sh,True,True
01359,中国信达,sh,True,True
01361,361度,sh,True,True
01364,古茗,sh,True,True
01368,特步国际,sh,True,True
01375,中州证券,sh,True,True
01377,鼎泰高科,sh,True,True
01378,中国宏桥,sh,True,True
01384,滴普科技,sh,True,True
01385,上海复旦,sh,True,True
01398,工商银行,sh,True,True
01405,达势股份,sh,True,True
01415,高伟电子,sh,True,True
01428,耀才证券金融,sh,True,True
01456,国联民生,sh,True,True
01475,日清食品,sh,True,True
01478,丘钛科技,sh,True,True
01513,丽珠医药,sh,True,True
01519,极兔速递-W,sh,True,True
01528,红星美凯龙,sh,True,True
01530,三生制药,sh,True,True
01548,金斯瑞生物科技,sh,True,True
01579,颐海国际,sh,True,True
01585,雅迪控股,sh,True,True
01610,中粮家佳康,sh,True,True
01618,中国中冶,sh,True,True
01635,大众公用,sh,True,True
01658,邮储银行,sh,True,True
01675,亚信科技,sh,True,True
01681,康臣药业,sh,True,True
01686,新意网集团,sh,True,True
01688,领益智造,sh,True,True
01691,JS环球生活,sh,True,True
01729,汇聚科技,sh,True,True
01735,中环新能源,sh,True,True
01766,中国中车,sh,True,True
01768,鸣鸣很忙,sh,True,True
01772,赣锋锂业,sh,True,True
01773,天立国际控股,sh,True,True
01776,广发证券,sh,True,True
01783,晋景新能,sh,True,True
01787,山东黄金,sh,True,True
01788,国泰君安国际,sh,True,True
01789,爱康医疗,sh,True,True
01797,东方甄选,sh,True,True
01800,中国交通建设,sh,True,True
01801,信达生物,sh,True,True
01810,小米集团-W,sh,True,True
01811,中广核新能源,sh,True,True
01816,中广核电力,sh,True,True
01818,招金矿业,sh,True,True
01828,富卫集团,sh,True,True
01833,平安好医生,sh,True,True
01836,九兴控股,sh,True,True
01858,春立医疗,sh,True,True
01860,汇量科技,sh,True,True
01876,百威亚太,sh,True,True
01877,君实生物,sh,True,True
01880,中国中免,sh,True,True
01882,海天国际,sh,True,True
01883,中信国际电讯,sh,True,True
01888,建滔积层板,sh,True,True
01896,猫眼娱乐,sh,True,True
01898,中煤能源,sh,True,True
01907,中国旭阳集团,sh,True,True
01908,建发国际集团,sh,True,True
01910,新秀丽,sh,True,True
01918,融创中国,sh,True,True
01919,中远海控,sh,True,True
01921,达力普控股,sh,True,True
01928,金沙中国有限公司,sh,True,True
01929,周大福,sh,True,True
01951,锦欣生殖,sh,True,True
01952,云顶新耀,sh,True,True
01963,重庆银行,sh,True,True
01972,太古地产,sh,True,True
01988,民生银行,sh,True,True
01989,广合科技,sh,True,True
01997,九龙仓置业,sh,True,True
01999,敏华控股,sh,True,True
02005,石四药集团,sh,True,True
02007,碧桂园,sh,True,True
